수집시각,상품번호,상품명,시청자수,상품링크
2026-08-31 00:49,6980026,[크롭] 와플 헨리넥 니트_멜란지그레이,10,https://www.musinsa.com/products/6980026
2026-08-31 00:49,6979664,[크롭] 라이트 레이어드 롱슬리브_레몬,63,https://www.musinsa.com/products/6979664
2026-08-31 00:49,6979573,[크롭] 와플 후드 롱슬리브_차콜,14,https://www.musinsa.com/products/6979573
2026-08-31 00:49,6979608,[크롭] 라이트 후드 집업_퍼플 [레이어드티 선택],108,https://www.musinsa.com/products/6979608
2026-08-31 00:49,6979659,[크롭] 라이트 레이어드 롱슬리브_네이비,78,https://www.musinsa.com/products/6979659
2026-08-31 00:49,6979660,[크롭] 라이트 레이어드 롱슬리브_퍼플,182,https://www.musinsa.com/products/6979660
2026-08-31 00:49,6980163,리버시블 체크 헤링턴 점퍼_버건디,172,https://www.musinsa.com/products/6980163
2026-08-31 00:49,6979662,[크롭] 라이트 레이어드 롱슬리브_민트,72,https://www.musinsa.com/products/6979662
2026-08-31 00:49,3138551,린넨라이크 세미와이드 밴딩 팬츠_4 COLOR,280,https://www.musinsa.com/products/3138551
2026-08-31 00:49,6979712,[크롭] 스트라이프 레이어드 헨리넥 롱슬리브_차콜,84,https://www.musinsa.com/products/6979712
2026-08-31 00:49,6979575,[크롭] 와플 후드 롱슬리브_애쉬블루,46,https://www.musinsa.com/products/6979575
2026-08-31 00:49,6979610,[크롭] 라이트 후드 집업_네이비 [레이어드티 선택],138,https://www.musinsa.com/products/6979610
2026-08-31 00:49,6979621,[크롭] 체크 플란넬 후드 롱슬리브_네이비,22,https://www.musinsa.com/products/6979621
2026-08-31 00:49,4062254,COOL 써머 와이드 팬츠 2종,90,https://www.musinsa.com/products/4062254
2026-08-31 00:49,6979706,[크롭] 스트라이프 레이어드 헨리넥 롱슬리브_스트라이프,54,https://www.musinsa.com/products/6979706
2026-08-31 00:49,6979612,[크롭] 라이트 후드 집업_차콜 [레이어드티 선택],89,https://www.musinsa.com/products/6979612
2026-08-31 00:49,3143786,(카라 OR 라운드) 린넨라이크 하프 니트 2종,89,https://www.musinsa.com/products/3143786
2026-08-31 00:49,6979502,커브드 라인 코튼 팬츠_베이지 [벨트/키링 선택],11,https://www.musinsa.com/products/6979502
2026-08-31 00:49,6979658,[크롭] 라이트 레이어드 롱슬리브_차콜,68,https://www.musinsa.com/products/6979658
2026-08-31 00:49,5903176,커브드 생지 데님 팬츠_인디고 [벨트/키링 선택],10,https://www.musinsa.com/products/5903176
2026-08-31 00:49,5318976,스웨이드 바이커 자켓_브라운,139,https://www.musinsa.com/products/5318976
2026-08-31 00:49,6154816,[크롭] 배색 롤업 크롭 반팔 티셔츠_버건디,243,https://www.musinsa.com/products/6154816
2026-08-31 00:49,3143788,(카라 OR 라운드) 케이블 하프 니트 2종,41,https://www.musinsa.com/products/3143788
2026-08-31 00:49,5903182,더블 아일렛 웨스턴 벨트_블랙,64,https://www.musinsa.com/products/5903182
2026-08-31 00:49,6154778,[크롭] 플래시무브 링거 크롭 반팔 티셔츠_버건디,37,https://www.musinsa.com/products/6154778
2026-08-31 00:49,6154812,[크롭] 배색 롤업 크롭 반팔 티셔츠_멜란지 그레이,71,https://www.musinsa.com/products/6154812
2026-08-31 00:49,6154802,[크롭] 스트라이프 크롭 워싱 반팔 티셔츠_차콜,18,https://www.musinsa.com/products/6154802
